Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34097318,"Leadership on the Line, With a New Preface: Staying Alive Through the Dangers of Change",Ronald A. Heifetz,"Heifetz, Ronald A.",Marty Linsky,"=""1633692841""","=""9781633692848""",0,Harvard Business Review Press,Kindle Edition,235,2017,2002,,2023/03/23,to-read,to-read (#48),to-read,,,,0,0
6356022,On the Decay of the Art of Lying,Mark Twain,"Twain, Mark",,"=""""","=""""",4.0,,Kindle Edition,6,,1882,2023/03/13,2023/03/12,,,read,,,,1,0
18052044,"Bartleby, the Scrivener: A Story Of Wall-Street",Herman Melville,"Melville, Herman",,"=""""","=""""",4.0,,Kindle Edition,45,2012,1853,,2023/03/12,,,read,,,,1,0
40752337,Stalingrad Battle of the Century,Vasily Chuikov,"Chuikov, Vasily",Dale Medley,"=""""","=""""",0,,Kindle Edition,531,2018,1953,,2022/01/01,to-read,to-read (#47),to-read,,,,0,0
22044026,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""""","=""""",0,Harper Perennial,ebook,384,2014,1932,,2023/03/12,to-read,to-read (#27),to-read,,,,0,0
18814253,Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu,"Tzu, Lao","Ursula K. Le Guin, J.P. Seaton","=""""","=""""",0,Shambhala Publications,Kindle Edition,162,2012,-350,,2023/03/12,to-read,to-read (#39),to-read,,,,0,0
24758143,Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,"McChrystal, Stanley","Tantum Collins, David        Silverman, Chris Fussell","=""0698178513""","=""9780698178519""",0,Portfolio,Kindle Edition,289,2015,2015,,2023/03/12,to-read,to-read (#9),to-read,,,,0,0
30899929,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""052543285X""","=""9780525432852""",0,Knopf Doubleday Publishing Group,Kindle Edition,573,2016,1961,,2023/03/12,to-read,to-read (#25),to-read,,,,0,0
9803995,"Surely You're Joking, Mr. Feynman!  Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.","Ralph Leighton, Edward Hutchings, Albert R. Hibbs","=""""","=""""",0,W. W. Norton & Company,Kindle Edition,356,2008,1985,,2023/03/12,to-read,to-read (#14),to-read,,,,0,0
9618721,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,"Levine, Amir",Rachel Heller,"=""1101475161""","=""9781101475164""",5.0,Tarcher,Kindle Edition,303,2010,2010,,2023/03/12,,,read,,,,1,0
4926231,The Dance of Intimacy: A Woman's Guide to Courageous Acts of Change in Key Relationships,Harriet Lerner,"Lerner, Harriet",,"=""0061741078""","=""9780061741074""",0,HarperCollins e-books,Kindle Edition,272,2009,1989,,2023/03/12,to-read,to-read (#4),to-read,,,,0,0
10437737,The Complete TurtleTrader: How 23 Novice Investors Became Overnight Millionaires,Michael W. Covel,"Covel, Michael W.",,"=""""","=""""",0,,Kindle Edition,339,,2007,,2023/03/12,to-read,to-read (#43),to-read,,,,0,0
20456000,The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,"Lerner, Harriet",,"=""""","=""""",0,William Morrow Paperbacks,Kindle Edition,258,2014,1985,,2023/03/12,to-read,to-read (#5),to-read,,,,0,0
32726691,Storm in a Teacup: The Physics of Everyday Life,Helen Czerski,"Czerski, Helen",,"=""""","=""""",0,Transworld Digital,Kindle Edition,282,2016,2016,,2023/03/12,to-read,to-read (#35),to-read,,,,0,0
49092434,How Music Works,David   Byrne,"Byrne, David",,"=""""","=""""",0,Three Rivers Press,Kindle Edition,384,,2014,,2023/03/12,to-read,to-read (#8),to-read,,,,0,0
22736001,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""""","=""""",0,OUP Oxford,Kindle Edition,431,2014,2014,,2023/03/12,to-read,to-read (#18),to-read,,,,0,0
11524771,Ghost in the Wires: My Adventures as the World's Most Wanted Hacker,Kevin D. Mitnick,"Mitnick, Kevin D.","William L. Simon, Steve Wozniak","=""""","=""""",0,"Little, Brown and Company",Kindle Edition,433,2011,2011,,2023/03/12,to-read,to-read (#7),to-read,,,,0,0
41948680,"Surprise, Kill, Vanish: The Secret History of CIA Paramilitary Armies, Operators, and Assassins",Annie Jacobsen,"Jacobsen, Annie",,"=""0316441406""","=""9780316441407""",0,"Little, Brown and Company",Kindle Edition,526,2019,2019,,2023/03/12,to-read,to-read (#15),to-read,,,,0,0
9293635,Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming,Naomi Oreskes,"Oreskes, Naomi",Erik M. Conway,"=""1608192938""","=""9781608192939""",0,Bloomsbury Press,Kindle Edition,369,2010,2010,,2023/03/12,to-read,to-read (#21),to-read,,,,0,0
19198357,Night Comes to the Cumberlands,Harry M. Caudill,"Caudill, Harry M.",James  Gifford,"=""1938471210""","=""""",0,Jesse Stuart Foundation,Kindle Edition,412,2013,1963,,2023/03/12,to-read,to-read (#23),to-read,,,,0,0
41436213,Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,"Greenberg, Andy",,"=""0385544413""","=""9780385544412""",0,Doubleday,Kindle Edition,368,2019,2019,,2023/03/12,to-read,to-read (#46),to-read,,,,0,0
18626866,Civil Disobedience,Henry David Thoreau,"Thoreau, Henry David",,"=""""","=""""",0,Public Domain Books,Kindle Edition,33,2012,1849,,2023/03/12,to-read,to-read (#45),to-read,,,,0,0
9032064,Ralph Waldo Emerson's Nature,Harold Bloom,"Bloom, Harold",,"=""1555463290""","=""9781555463298""",4.0,Chelsea House,Library Binding,0,1988,1988,,2023/03/12,,,read,,,,1,0
19384158,Are Prisons Obsolete? (Open Media Series),Angela Y. Davis,"Davis, Angela Y.",,"=""1609801040""","=""9781609801045""",0,Seven Stories Press,Kindle Edition,126,2011,2003,,2021/06/22,to-read,to-read (#44),to-read,,,,0,0
329260,1491: New Revelations of the Americas Before Columbus,Charles C. Mann,"Mann, Charles C.",,"=""140004006X""","=""9781400040063""",5.0,Alfred A. Knopf,Hardcover,466,2005,2005,,2023/03/12,,,read,,,,2,0
350,Stranger in a Strange Land,Robert A. Heinlein,"Heinlein, Robert A.",James Warhola,"=""""","=""""",0,Ace,Paperback,525,1991,1961,,2023/03/12,to-read,to-read (#42),to-read,,,,0,0
304482,Secrets and Lies: Digital Security in a Networked World,Bruce Schneier,"Schneier, Bruce",,"=""0471453803""","=""9780471453802""",0,Wiley,Paperback,401,2004,2000,,2023/03/12,to-read,to-read (#41),to-read,,,,0,0
970488,Legacy of Ashes: The History of the CIA,Tim Weiner,"Weiner, Tim",,"=""038551445X""","=""9780385514453""",0,Doubleday,Hardcover,514,2007,2007,,2023/03/12,to-read,to-read (#40),to-read,,,,1,0
59228410,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",0,Spiegel & Grau,Kindle Edition,342,2014,2014,,2021/10/11,to-read,to-read (#38),to-read,,,,0,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,Basic Books,Paperback,777,1999,1979,,2023/03/12,to-read,to-read (#37),to-read,,,,0,0
252429,"Telling Lies: Clues to Deceit in the Marketplace, Politics, and Marriage",Paul Ekman,"Ekman, Paul",,"=""0393321886""","=""9780393321883""",0,W. W. Norton & Company,Paperback,390,2001,1985,,2023/03/12,to-read,to-read (#36),to-read,,,,0,0
2272880,The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,"Mlodinow, Leonard",,"=""0375424040""","=""9780375424045""",0,Pantheon Books,Hardcover,252,2008,2008,,2023/03/12,to-read,to-read (#34),to-read,,,,0,0
1898,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,"Krakauer, Jon",,"=""""","=""""",0,Anchor Books,Paperback,368,1999,1997,,2023/03/12,to-read,to-read (#33),to-read,,,,0,0
17707637,Five Billion Years of Solitude: The Search for Life Among the Stars,Lee Billings,"Billings, Lee",,"=""1617230065""","=""9781617230066""",0,Current,Hardcover,304,2013,2013,,2023/03/12,to-read,to-read (#32),to-read,,,,0,0
21086818,"Do No Harm: Stories of Life, Death and Brain Surgery",Henry Marsh,"Marsh, Henry",,"=""0297869876""","=""9780297869870""",0,Weidenfeld & Nicolson,Hardcover,278,2014,2014,,2023/03/12,to-read,to-read (#31),to-read,,,,0,0
641604,Purple Cow: Transform Your Business by Being Remarkable,Seth Godin,"Godin, Seth",,"=""159184021X""","=""9781591840213""",3.0,Portfolio,Hardcover,145,2003,,,2023/03/12,,,read,,,,1,0
26200068,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (A No F*cks Given Guide),Sarah Knight,"Knight, Sarah",,"=""0316270725""","=""9780316270724""",5.0,Voracious,Hardcover,209,2015,2015,,2023/03/12,,,read,,,,1,0
53240818,The Art of Impossible: A Peak Performance Primer,Steven Kotler,"Kotler, Steven",,"=""0062977539""","=""9780062977533""",5.0,Harper,Hardcover,336,2021,2021,,2023/03/12,,,read,,,,1,0
28150454,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,Michael Hyatt,"Hyatt, Michael",Daniel Harkavy,"=""1493403257""","=""9781493403257""",5.0,Baker Books,Kindle Edition,210,2016,2016,,2023/03/12,,,read,,,,1,0
40696923,Blueprint: The Evolutionary Origins of a Good Society,Nicholas A. Christakis,"Christakis, Nicholas A.",,"=""0316230030""","=""9780316230032""",4.0,"Little, Brown Spark",Hardcover,544,2019,2019,,2023/03/12,,,read,,,,1,0
15824358,The First 90 Days: Proven Strategies for Getting Up to Speed Faster and Smarter,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",3.0,Harvard Business Review Press,Hardcover,304,2013,2003,,2023/03/12,,,read,,,,1,0
59034082,Post Office,Charles Bukowski,"Bukowski, Charles",,"=""""","=""""",4.0,Ecco,Kindle Edition,162,2009,1971,,2023/03/12,,,read,,,,1,0
9410534,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,"=""1595586539""","=""9781595586537""",0,The New Press,Kindle Edition,465,2008,1995,,2023/03/12,to-read,to-read (#30),to-read,,,,0,0
103508,The World's Most Dangerous Places,Robert Young Pelton,"Pelton, Robert Young",,"=""0060011602""","=""9780060011604""",0,Collins Reference,Paperback,1088,2003,1995,,2023/03/12,to-read,to-read (#29),to-read,,,,0,0
187565,"Come Back Alive: The Ultimate Guide to Surviving Disasters, Kidnapping, Animal Attacks, and Other Nasty Perils of Modern Travel",Robert Young Pelton,"Pelton, Robert Young",,"=""0385495668""","=""9780385495660""",0,Main Street Books,Paperback,304,1999,1999,,2023/03/12,to-read,to-read (#28),to-read,,,,0,0
8229281,"Guns, Germs, and Steel",Jared Diamond,"Diamond, Jared",,"=""""","=""""",5.0,W. W. Norton & Company,Kindle Edition,425,2009,1997,,2023/03/12,,,read,,,,2,0
6633402,In Search of Excellence: Lessons from America's best-Run Companies,Thomas J. Peters,"Peters, Thomas J.",Robert H. Waterman Jr.,"=""006045153X""","=""9780060451530""",0,Harper,Hardcover,,1982,1982,,2023/03/12,to-read,to-read (#26),to-read,,,,0,0
259028,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",Erik Larson,"Larson, Erik",,"=""0375725601""","=""9780375725609""",0,Vintage Books,Paperback,447,2004,2003,,2023/03/12,to-read,to-read (#24),to-read,,,,0,0
3406986,The Craft of Power,R.G.H. Siu,"Siu, R.G.H.",,"=""0471046280""","=""9780471046288""",0,Wiley,Hardcover,255,1979,1979,,2023/03/12,to-read,to-read (#22),to-read,,,,0,0
2460584,Foundation (Foundation #1),Isaac Asimov,"Asimov, Isaac",,"=""0553382578""","=""9780553382570""",0,Del Rey,Paperback,272,2008,1951,,2023/03/12,to-read,to-read (#20),to-read,,,,0,0
245344,Structures: Or Why Things Don't Fall Down,J.E. Gordon,"Gordon, J.E.",,"=""0306812835""","=""9780306812835""",0,Grand Central Publishing,Paperback,395,2003,1978,,2023/03/12,to-read,to-read (#19),to-read,,,,0,0
43263498,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,"Scott, Kim Malone",,"=""1250235375""","=""9781250235374""",3.0,St. Martin's Press,Hardcover,404,2019,2017,,2023/03/12,,,read,,,,1,0
1788479,The Clock Of The Long Now: Time And Responsibility,Stewart Brand,"Brand, Stewart",,"=""046504512X""","=""9780465045129""",0,Basic Books,Hardcover,208,1999,1999,,2023/03/12,to-read,to-read (#17),to-read,,,,0,0
209178,Who Are We?: The Challenges to America's National Identity,Samuel P. Huntington,"Huntington, Samuel P.",,"=""0684870541""","=""9780684870540""",0,Simon & Schuster,Paperback,448,2005,2004,,2023/03/12,to-read,to-read (#16),to-read,,,,0,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",4.0,Harper Business,Hardcover,274,2016,2016,,2023/03/12,,,read,,,,1,0
39947376,The Myth of Sisyphus,Albert Camus,"Camus, Albert",,"=""0525564454""","=""9780525564454""",5.0,Vintage,Paperback,160,2018,1942,,2023/03/12,,,read,,,,1,0
826081,Chaos: Making a New Science,James Gleick,"Gleick, James",,"=""0670811785""","=""9780670811786""",0,Viking Adult,Hardcover,368,1987,1987,,2023/03/12,to-read,to-read (#13),to-read,,,,0,0
33931068,Vanquished,Robert Gerwarth,"Gerwarth, Robert",,"=""0374537186""","=""9780374537180""",0,FSG Adult,Paperback,446,2017,1982,,2023/03/12,to-read,to-read (#12),to-read,,,,0,0
13536589,Notes of a Native Son (Beacon Classics),James Baldwin,"Baldwin, James",Edward P. Jones,"=""0807006114""","=""9780807006115""",0,Beacon Press,Hardcover,179,2012,1955,,2023/03/12,to-read,to-read (#11),to-read,,,,0,0
142957,Adult Children of Alcoholics,Janet Geringer Woititz,"Woititz, Janet Geringer",,"=""1558741127""","=""9781558741126""",0,Health Communications Inc,Paperback,240,1990,1983,,2023/03/12,to-read,to-read (#10),to-read,,,,0,0
31624481,Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming,Paul Hawken,"Hawken, Paul",,"=""0143130447""","=""9780143130444""",5.0,Penguin Books,Paperback,240,2017,2017,,2023/03/12,,,read,,,,2,0
28259130,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062457713""","=""9780062457714""",5.0,Harper,Hardcover,212,2016,2016,,2023/03/12,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,Crown Currency,Hardcover,195,2014,2014,,2023/03/12,to-read,to-read (#6),to-read,,,,0,0
39217074,How Fascism Works: The Politics of Us and Them,Jason F. Stanley,"Stanley, Jason F.",,"=""0525511849""","=""9780525511847""",0,Random House,Kindle Edition,258,2018,2018,,2023/03/12,to-read,to-read (#3),to-read,,,,0,0
58133497,How Civil Wars Start: And How to Stop Them,Barbara F. Walter,"Walter, Barbara F.",,"=""0593137795""","=""9780593137796""",0,Crown,Kindle Edition,320,2022,2022,,2023/03/12,to-read,to-read (#2),to-read,,,,0,0
8135743,Legacy of Ashes: The History of the CIA,Tim Weiner,"Weiner, Tim",,"=""""","=""""",0,,Kindle Edition,999,,2007,,2023/02/11,currently-reading,currently-reading (#1),currently-reading,,,,1,0
55980219,How to Not Die Alone: The Surprising Science of Finding Love,Logan Ury,"Ury, Logan",,"=""1982120649""","=""9781982120641""",5.0,Simon & Schuster,Kindle Edition,333,2021,2021,2023/01/16,2022/12/26,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",4.0,Plume,Paperback,129,2003,1945,,2018/10/06,,,read,,,,1,0
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Ilse Lasch","=""080701429X""","=""9780807014295""",5.0,Beacon Press,Paperback,165,2006,1946,,2018/10/06,,,read,,,,1,0
36236151,The Color of Law: A Forgotten History of How Our Government Segregated America,Richard Rothstein,"Rothstein, Richard",,"=""1631494538""","=""9781631494536""",5.0,Norton,Paperback,342,2018,2017,2018/07/22,2018/06/24,,,read,"This will likely be my go to book for book recommendations for the foreseeable future.<br/><br/>This book reviews the history of de jure (state sanctioned) segregation in the USA (civil war through today). Over 194 pages, Richard Rothstein covers this history of de jure segregation, its systemic and multi-generational impact, the progress made against it, and how there is still much to be done to heal this injustice - he does so with a preponderance of historical examples (there are 71 pages of notes and bibliography). This history includes other prominent themes such as the delayed full execution of civil-rights laws (in some instances taking decades to be full upheld / executed) and repeated attempts to skirt them by government officials in all branches. <br/><br/>The epilogue does a very nice job of succinctly summarizing the classes of this de jure segregation and how it has impacted people of color: https://erenow.com/modern/color-of-law-forgotten-history/14.php <br/><br/>At the end, Rothstein spends an additional 23 pages on recommended paths forward.  <br/><br/>I wish that I had had this book (and read it) during the time of my own high school / college education. The completeness of Rothstein's writing on the topic has substantially impacted my understanding of US history - at time reinforcing and at times upending. It has greatly augmented my understanding of US history for the better. <br/><br/>Richard Rothstein - thank you for writing this book.",,,1,0
33613855,The Evolution of Desire: Strategies of Human Mating,David M. Buss,"Buss, David M.",,"=""0465093302""","=""9780465093304""",3.0,Basic Books,Kindle Edition,450,2016,1994,,2018/06/24,,,read,,,,1,0
25069886,Modern Romance: An Investigation,Aziz Ansari,"Ansari, Aziz",Eric Klinenberg,"=""069817996X""","=""9780698179967""",3.0,Penguin Publishing Group,Kindle Edition,288,2015,2015,,2018/06/24,,,read,,,,1,0
11236530,Convict Conditioning: How to Bust Free of All Weakness Using the lost Secrets of Supreme Survival Strength,Paul Wade,"Wade, Paul",,"=""""","=""""",3.0,,Kindle Edition,487,,2010,,2018/06/24,,,read,,,,1,0
30781490,Word by Word: The Secret Life of Dictionaries,Kory Stamper,"Stamper, Kory",,"=""110187094X""","=""9781101870945""",4.0,Pantheon,Hardcover,296,2017,2017,2018/05/20,2018/06/24,,,read,,,,1,0
35356384,How Democracies Die: What History Reveals About Our Future,Steven Levitsky,"Levitsky, Steven",Daniel Ziblatt,"=""1524762938""","=""9781524762933""",5.0,Crown,Hardcover,320,2018,2018,2018/06/10,2018/06/24,,,read,,,,1,0
2239102,God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"Hitchens, Christopher",,"=""0446697966""","=""9780446697965""",4.0,Twelve (Hachette Book Group),Paperback,336,2009,2007,,2018/06/24,,,read,,,,1,0
11851850,The Science of Evil: On Empathy and the Origins of Cruelty,Simon Baron-Cohen,"Baron-Cohen, Simon",,"=""0465023800""","=""9780465023806""",0,Basic Books,Kindle Edition,256,2011,2011,,2018/06/24,to-read,to-read (#1),to-read,,,,0,0
9522254,"Sex at Dawn: How We Mate, Why We Stray & What It Means for Modern Relationships",Christopher  Ryan,"Ryan, Christopher",Cacilda Jethá,"=""0061707813""","=""9780061707810""",4.0,Harper Perennial,Paperback,416,2011,2010,,2018/06/24,,,read,,,,1,0
18154,The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage,Clifford Stoll,"Stoll, Clifford",,"=""1416507787""","=""9781416507789""",4.0,Pocket Books,Paperback,399,2005,1989,,2018/06/24,,,read,,,,1,0
153234,"Built to Last: Successful Habits of Visionary Companies (Good to Great, 2)",Jim Collins,"Collins, Jim",Jerry I Porras,"=""0060516402""","=""9780060516406""",5.0,Harper Business,Paperback,368,1994,1994,,2018/06/24,,,read,,,,1,0
17994,The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography,Simon Singh,"Singh, Simon",,"=""0385495323""","=""9780385495325""",5.0,Anchor,Paperback,432,2000,1999,,2018/06/24,,,read,,,,1,0
